date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:33:54	14672/14672	---M--	200	added ('OK')	image/jpeg	etag:%2253759938-3950%22	http://silicon.ac.in/icit2014/images/location.jpg	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/images/location.jpg	(from http://silicon.ac.in/icit2014/)
09:33:55	1833/1833	---M--	200	added ('OK')	image/png	etag:%2253759939-729%22	http://silicon.ac.in/icit2014/images/search-bg.png	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/images/search-bg.png	(from http://silicon.ac.in/icit2014/style.css)
09:33:55	1219/1219	---M--	200	added ('OK')	image/png	etag:%2253759937-4c3%22	http://silicon.ac.in/icit2014/images/search-icon1.png	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/images/search-icon1.png	(from http://silicon.ac.in/icit2014/style.css)
09:33:55	1063/1063	---M--	200	added ('OK')	image/png	etag:%2253759939-427%22	http://silicon.ac.in/icit2014/images/li-bg.png	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/images/li-bg.png	(from http://silicon.ac.in/icit2014/style.css)
09:33:56	1289/1289	---M--	200	added ('OK')	image/jpeg	etag:%2253759939-509%22	http://silicon.ac.in/icit2014/images/bg-form.jpg	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/images/bg-form.jpg	(from http://silicon.ac.in/icit2014/style.css)
09:33:56	1893/1893	---M--	200	added ('OK')	image/png	etag:%2253759939-765%22	http://silicon.ac.in/icit2014/images/e-form-button.png	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/images/e-form-button.png	(from http://silicon.ac.in/icit2014/style.css)
09:33:57	1724/1724	---M--	200	added ('OK')	image/png	etag:%2253759938-6bc%22	http://silicon.ac.in/icit2014/images/txt-area.png	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/images/txt-area.png	(from http://silicon.ac.in/icit2014/style.css)
09:33:57	31783/31783	---M--	200	added ('OK')	image/jpeg	etag:%2253759939-7c27%22	http://silicon.ac.in/icit2014/images/spon.jpg	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/images/spon.jpg	(from http://silicon.ac.in/icit2014/)
09:33:57	1405/1405	---M--	200	added ('OK')	image/png	etag:%2253759938-57d%22	http://silicon.ac.in/icit2014/images/button-3.png	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/images/button-3.png	(from http://silicon.ac.in/icit2014/style.css)
09:33:57	3993/3993	---M--	200	added ('OK')	image/png	etag:%2253759939-f99%22	http://silicon.ac.in/icit2014/images/form-button.png	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/images/form-button.png	(from http://silicon.ac.in/icit2014/style.css)
09:33:58	1558/1558	---M--	200	added ('OK')	image/png	etag:%2253759938-616%22	http://silicon.ac.in/icit2014/images/news-letter-input.png	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/images/news-letter-input.png	(from http://silicon.ac.in/icit2014/style.css)
09:33:58	1566/1566	---M--	200	added ('OK')	image/png	etag:%2253759938-61e%22	http://silicon.ac.in/icit2014/images/button-email.png	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/images/button-email.png	(from http://silicon.ac.in/icit2014/style.css)
09:33:58	80006/80006	---M--	200	added ('OK')	image/jpeg	etag:%2253759935-13886%22	http://silicon.ac.in/icit2014/images/slide-4.jpg	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/images/slide-4.jpg	(from http://silicon.ac.in/icit2014/)
09:33:58	3174/3174	---M--	200	added ('OK')	image/png	etag:%2253759939-c66%22	http://silicon.ac.in/icit2014/images/bg-scrollbar-thumb-y.png	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/images/bg-scrollbar-thumb-y.png	(from http://silicon.ac.in/icit2014/tinyscrollbar.css)
09:33:59	2868/2868	---M--	200	added ('OK')	image/jpeg	etag:%2253dbc167-b34%22	http://silicon.ac.in/icit2014/tiny.jpg	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/tiny.jpg	(from http://silicon.ac.in/icit2014/prog.php)
09:34:00	4412/4412	---M--	200	added ('OK')	image/jpeg	etag:%225434bde2-113c%22	http://silicon.ac.in/icit2014/images/ratnesh.jpg	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/images/ratnesh.jpg	(from http://silicon.ac.in/icit2014/keynote.php)
09:34:01	7768/7768	---M--	200	added ('OK')	image/jpeg	etag:%22542afbd2-1e58%22	http://silicon.ac.in/icit2014/images/madhavi.jpg	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/images/madhavi.jpg	(from http://silicon.ac.in/icit2014/plenary.php)
09:34:02	14366/14366	---M--	200	added ('OK')	image/jpeg	etag:%225441e589-381e%22	http://silicon.ac.in/icit2014/images/ashok.jpg	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/images/ashok.jpg	(from http://silicon.ac.in/icit2014/keynote.php)
09:34:02	6190/6190	---M--	200	added ('OK')	image/jpeg	etag:%2253ec7513-182e%22	http://silicon.ac.in/icit2014/images/oria.jpg	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/images/oria.jpg	(from http://silicon.ac.in/icit2014/plenary.php)
09:34:03	74043/74043	---M--	200	added ('OK')	image/jpeg	etag:%2254599518-1213b%22	http://silicon.ac.in/icit2014/images/logo2.jpg	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/images/logo2.jpg	(from http://silicon.ac.in/icit2014/style.css)
09:34:03	6416/6416	---M--	200	added ('OK')	image/jpeg	etag:%2253ec77bd-1910%22	http://silicon.ac.in/icit2014/images/amitav.jpg	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/images/amitav.jpg	(from http://silicon.ac.in/icit2014/plenary.php)
09:34:03	1023/1023	---M--	404	error ('Not%20Found')	text/html	etag:%2239c908-3ff-50f16ce97877d%22	http://silicon.ac.in/icit2014/ICIT2014_Accepted_Papers_List.pdf	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/ICIT2014_Accepted_Papers_List.pdf	(from http://silicon.ac.in/icit2014/schedule.php)
09:34:04	12169/12169	---M--	200	added ('OK')	image/jpeg	etag:%2253ec76a2-2f89%22	http://silicon.ac.in/icit2014/images/sylla.jpg	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/images/sylla.jpg	(from http://silicon.ac.in/icit2014/plenary.php)
09:34:04	927/927	---M--	200	added ('OK')	image/gif	etag:%2239dff6-39f-50465be272e00%22	http://silicon.ac.in/icit2014/pdficon_small.gif	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/pdficon_small.gif	(from http://silicon.ac.in/icit2014/schedule.php)
09:34:04	1023/1023	---M--	404	error ('Not%20Found')	text/html	etag:%2239c908-3ff-50f16ce97877d%22	http://silicon.ac.in/icit2014/ICIT2014_Technical_Program.pdf	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/ICIT2014_Technical_Program.pdf	(from http://silicon.ac.in/icit2014/schedule.php)
09:34:05	11153/11153	---MC-	200	added ('OK')	text/html	date:Sun,%2026%20Apr%202015%2014:30:52%20GMT	http://silicon.ac.in/icit2014/regdonline.php	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/regdonline.html	(from http://silicon.ac.in/icit2014/regd.php)
09:34:05	4171/4171	---M--	200	added ('OK')	image/png	etag:%2254394f61-104b%22	http://silicon.ac.in/icit2014/register.png	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/register.png	(from http://silicon.ac.in/icit2014/regd.php)
09:34:05	1023/1023	---M--	404	error ('Not%20Found')	text/html	etag:%2239c908-3ff-50f16ce97877d%22	http://silicon.ac.in/icit2014/local/jagannath2.jpg	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/local/jagannath2.jpg	(from http://silicon.ac.in/icit2014/localinfo.php)
09:34:05	4213/4213	---M--	200	added ('OK')	image/png	etag:%2254394f9c-1075%22	http://silicon.ac.in/icit2014/rr.png	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/rr.png	(from http://silicon.ac.in/icit2014/regd.php)
09:34:05	1023/1023	---M--	404	error ('Not%20Found')	text/html	etag:%2239c908-3ff-50f16ce97877d%22	http://silicon.ac.in/icit2014/local/konark1.jpg	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/local/konark1.jpg	(from http://silicon.ac.in/icit2014/localinfo.php)
09:34:05	94840/94840	---MC-	200	added ('OK')	text/javascript	date:Thu,%2029%20Mar%202012%2018:19:50%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.7.2/jquery.min.js	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/ajax.googleapis.com/ajax/libs/jquery/1.7.2/jquery.min.js	(from http://silicon.ac.in/icit2014/about.php)
09:34:07	1023/1023	---M--	404	error ('Not%20Found')	text/html	etag:%2239c908-3ff-50f16ce97877d%22	http://silicon.ac.in/icit2014/local/chilika.jpg	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/local/chilika.jpg	(from http://silicon.ac.in/icit2014/localinfo.php)
09:34:07	1023/1023	---M--	404	error ('Not%20Found')	text/html	etag:%2239c908-3ff-50f16ce97877d%22	http://silicon.ac.in/icit2014/local/phurli.jpg	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/local/phurli.jpg	(from http://silicon.ac.in/icit2014/localinfo.php)
09:34:07	1023/1023	---M--	404	error ('Not%20Found')	text/html	etag:%2239c908-3ff-50f16ce97877d%22	http://silicon.ac.in/icit2014/local/p2.jpg	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/local/p2.jpg	(from http://silicon.ac.in/icit2014/localinfo.php)
09:34:07	1559/1559	---M--	200	added ('OK')	text/css	etag:%22543a857d-617%22	http://silicon.ac.in/icit2014/regd/style/style.css	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/regd/style/style.css	(from http://silicon.ac.in/icit2014/regdonline.php)
09:34:09	1031/1031	---M--	200	added ('OK')	text/javascript	etag:%22543a1ef5-407%22	http://silicon.ac.in/icit2014/regd/scripts/scripts.js	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/regd/scripts/scripts.js	(from http://silicon.ac.in/icit2014/regdonline.php)
09:34:09	85939/85939	---M--	200	added ('OK')	text/javascript	etag:%224da5ba48-14fb3%22	http://silicon.ac.in/icit2014/regd/scripts/jquery-1.5.2.min.js	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/regd/scripts/jquery-1.5.2.min.js	(from http://silicon.ac.in/icit2014/regdonline.php)
